Classic,,
Cold Cut Combo,$3.99 / $5.98,399-599
Steak & Cheese,$6.29 / $9.49,$9.49
Spicy Italian,$4.99 / $7.49,$7.49
Meatball Marinara,$3.99 / $5.99
ROTISSERIE-STYLE CHICKEN & BACON RANCH MELT, $3.99 / $5.99
Italian BMT, $5.29 / $8.49
Tuna, $5.29 / $8.48

Featured
Ultimate Steak, $7.29 / $11.49
Ultimate MeatBall, $4.99 / $7.29
Ultimate Spicy Italian, $5.79 / $8.49

Wraps
TURKEY BACON & GUAC, $7.29
CHIPOTLE SOUTHWEST STEAK & CHEESE, $7.49
SAVORY ROTISSERIE-STYLE CHICKEN CAESER, $6.99
